Question,Option A,Option B,Option C,Option D,,Type of paper,Marks,Course CO,blooms
WordPress plugins enhance?,Slowing down website speed,Enhancing features and tools,Limiting customization options,Increasing website complexity,21)          B,A,2,CO3,Analyze
Blogger's priority: regular backups ensure?,Avoiding content loss during technical issues,Improving website performance,Increasing website speed,Enhancing website aesthetics,22)          A,A,2,CO3,Analyze
Critical for maintaining WordPress security?,Sharing login credentials publicly,Regular updates and strong passwords,No security measures in place,Ignoring website backups,23)          B,A,2,CO3,Analyze
Method for optimizing blog content for search engines,Ignoring meta tags,Using relevant keywords and meta descriptions,Excessive keyword stuffing,Avoiding internal linking,24)          B,A,2,CO3,Analyze
Advantage of using premium WordPress themes over free ones,Lower quality,Enhanced support and features,Limited customization options,Incompatibility with plugins,25)          B,A,2,CO3,Analyze
Apply your understanding of WordPress' features to recommend it for a non-profit organization's blogging platform over other options. Justify your recommendation.,,,,,,B,6,CO1,Apply
Create a content structure for a lifestyle blog using WordPress pages and posts. Explain your choices.,,,,,,B,6,CO1,Apply
Analyze the impact of theme customization on blog identity and user experience. Include considerations for mobile responsiveness.,,,,,,B,6,CO1,Apply
Describe the role of plugins in enhancing the functionality of a WordPress blog. Provide examples of three essential plugins for a beginner's blog and explain their benefits.,,,,,,B,6,CO1,Apply
Explain the process of customizing a WordPress theme to reflect the unique identity of a blog. Include a discussion on key customization options.,,,,,,B,6,CO1,Apply
Outline the steps to find and install a WordPress theme that aligns with a blog's niche and branding strategy.,,,,,,B,6,CO1,Apply
Describe the process of customizing a post's profile in WordPress. How does customizing post profiles contribute to a blog's visual appeal and functionality?,,,,,,B,6,CO1,Apply
Explain the difference between pages and posts in WordPress. Provide examples of how each can be used effectively in a blog.,,,,,,B,6,CO1,Apply
Describe the key characteristics that define the mindset of a successful blogger. Provide examples of how these characteristics can influence a blog's success.,,,,,,B,6,CO2,Evaluate
Discuss best practices for optimizing images and media on a WordPress blog to ensure faster loading times. Why is this important for user experience?,,,,,,B,6,CO2,Evaluate
Describe how to implement and use custom post types in a WordPress site for a book review blog. Explain your rationale.,,,,,,B,6,CO2,Evaluate
Explain the use case of XAMPP in detail.,,,,,,B,6,CO2,Evaluate
Compare and contrast the benefits and limitations of using free vs. premium WordPress themes in the context of professional blogging.,,,,,,B,6,CO2,Evaluate
Assess the mobile responsiveness of a WordPress theme and propose adjustments to improve viewing on various devices.,,,,,,B,6,CO2,Evaluate
"Evaluate the use of visual elements (images, videos, infographics) in a WordPress blog's posts for enhancing reader engagement.",,,,,,B,6,CO2,Evaluate
List the steps to install a WordPress plugin.,,,,,,B,6,CO2,Evaluate
Describe the main differences between WordPress.com and WordPress.org. Which platform would be more suitable for a blogger who wants full control over their site's design and functionality?,,,,,,B,6,CO3,Analyze
Outline the basic steps for publishing a post in WordPress. Include how to add categories and tags to a post.,,,,,,B,6,CO3,Analyze
"Outline the procedure for customizing the appearance of a WordPress site, including changing the theme and adding widgets.",,,,,,B,6,CO3,Analyze
Describe how a WordPress user can increase the security of their blog to protect against common threats.,,,,,,B,6,CO3,Analyze
Explain the purpose of a content management system (CMS) and why WordPress is considered a popular choice for bloggers.,,,,,,C,10,CO1,Apply
Explain how to use categories and tags effectively in organizing blog content on a WordPress site.,,,,,,C,10,CO1,Apply
Outline the benefits of using images and multimedia in blog posts. How can WordPress users optimize these elements for performance and SEO?,,,,,,C,10,CO1,Apply
"Evaluate the pros and cons of using a drag-and-drop page builder vs. traditional WordPress themes for a business website. Consider aspects such as flexibility, performance, and SEO.",,,,,,C,10,CO1,Apply
"Analyze the effectiveness of different WordPress caching solutions to improve site speed. Evaluate based on ease of use, cost, and impact on performance.",,,,,,C,10,CO1,Apply
"Evaluate the benefits and challenges of integrating a forum into a WordPress website. Consider user engagement, moderation, and potential impact on site resources.",,,,,,C,10,CO1,Apply
Create a plan to improve the load time of an Astra-themed WordPress site without sacrificing design quality. Detail the specific optimizations you would apply to both Astra settings and general WordPress configurations.,,,,,,C,10,CO2,Evaluate
"Outline a process for adding a custom post type to a WordPress site using Elementor and Astra, specifically for showcasing customer testimonials. Include how you would design the testimonial display.",,,,,,C,10,CO2,Evaluate
Develop a strategy for using Elementor Pro's theme builder features to customize the header and footer of a website using the Astra theme. Describe the design considerations and functionality you would incorporate.,,,,,,C,10,CO2,Evaluate
"Critically evaluate the performance benefits of using the Astra theme with Elementor page builder for a content-heavy blog. Consider aspects such as site speed, SEO, and user experience.",,,,,,C,10,CO2,Evaluate
"Analyze the advantages and potential limitations of using pre-designed templates from Elementor and Astra's library for rapid website development. Consider factors like uniqueness, customization, and load time.",,,,,,C,10,CO2,Evaluate
Evaluate the security considerations when using Elementor and Astra for building WordPress sites. Discuss how to maintain security while using these tools.,,,,,,C,10,CO2,Evaluate
Analyze the potential benefits of using Elementor Plugin in our website.,,,,,,C,10,CO3,Analyze
Decsribe the whole dashboard features of wordpress and benefits of using those features.,,,,,,C,10,CO3,Analyze
"Outline a strategy for optimizing the load time of a high-traffic blog using the Astra theme and Elementor, focusing on image optimization and plugin management.",,,,,,C,10,CO3,Analyze
